,Pclass,Sex,Age,Survived
463,2,male,48.0,0
464,3,male,,0
465,3,male,38.0,0
466,2,male,,0
467,1,male,56.0,0
468,3,male,,0
469,3,female,0.75,1
470,3,male,,0
471,3,male,38.0,0
472,2,female,33.0,1
473,2,female,23.0,1
474,3,female,22.0,0
475,1,male,,0
476,2,male,34.0,0
477,3,male,29.0,0
478,3,male,22.0,0
479,3,female,2.0,1
480,3,male,9.0,0
481,2,male,,0
482,3,male,50.0,0
483,3,female,63.0,1
484,1,male,25.0,1
485,3,female,,0
486,1,female,35.0,1
487,1,male,58.0,0
488,3,male,30.0,0
489,3,male,9.0,1
490,3,male,,0
491,3,male,21.0,0
492,1,male,55.0,0
493,1,male,71.0,0
494,3,male,21.0,0
495,3,male,,0
496,1,female,54.0,1
497,3,male,,0
498,1,female,25.0,0
499,3,male,24.0,0
500,3,male,17.0,0
501,3,female,21.0,0
502,3,female,,0
503,3,female,37.0,0
504,1,female,16.0,1
505,1,male,18.0,0
506,2,female,33.0,1
507,1,male,,1
508,3,male,28.0,0
509,3,male,26.0,1
510,3,male,29.0,1
511,3,male,,0
512,1,male,36.0,1
513,1,female,54.0,1
514,3,male,24.0,0
515,1,male,47.0,0
516,2,female,34.0,1
517,3,male,,0
518,2,female,36.0,1
519,3,male,32.0,0
520,1,female,30.0,1
521,3,male,22.0,0
522,3,male,,0
523,1,female,44.0,1
524,3,male,,0
525,3,male,40.5,0
526,2,female,50.0,1
527,1,male,,0
528,3,male,39.0,0
529,2,male,23.0,0
530,2,female,2.0,1
531,3,male,,0
532,3,male,17.0,0
533,3,female,,1
534,3,female,30.0,0
535,2,female,7.0,1
536,1,male,45.0,0
537,1,female,30.0,1
538,3,male,,0
539,1,female,22.0,1
540,1,female,36.0,1
541,3,female,9.0,0
542,3,female,11.0,0
543,2,male,32.0,1
544,1,male,50.0,0
545,1,male,64.0,0
546,2,female,19.0,1
547,2,male,,1
548,3,male,33.0,0
549,2,male,8.0,1
550,1,male,17.0,1
551,2,male,27.0,0
552,3,male,,0
553,3,male,22.0,1
554,3,female,22.0,1
555,1,male,62.0,0
556,1,female,48.0,1
557,1,male,,0
558,1,female,39.0,1
559,3,female,36.0,1
560,3,male,,0
561,3,male,40.0,0
562,2,male,28.0,0
563,3,male,,0
564,3,female,,0
565,3,male,24.0,0
566,3,male,19.0,0
567,3,female,29.0,0
568,3,male,,0
569,3,male,32.0,1
570,2,male,62.0,1
571,1,female,53.0,1
572,1,male,36.0,1
573,3,female,,1
574,3,male,16.0,0
575,3,male,19.0,0
576,2,female,34.0,1
577,1,female,39.0,1
578,3,female,,0
579,3,male,32.0,1
580,2,female,25.0,1
581,1,female,39.0,1
582,2,male,54.0,0
583,1,male,36.0,0
584,3,male,,0
585,1,female,18.0,1
586,2,male,47.0,0
587,1,male,60.0,1
588,3,male,22.0,0
589,3,male,,0
590,3,male,35.0,0
591,1,female,52.0,1
592,3,male,47.0,0
593,3,female,,0
594,2,male,37.0,0
595,3,male,36.0,0
596,2,female,,1
597,3,male,49.0,0
598,3,male,,0
599,1,male,49.0,1
600,2,female,24.0,1
601,3,male,,0
602,1,male,,0
603,3,male,44.0,0
604,1,male,35.0,1
605,3,male,36.0,0
606,3,male,30.0,0
607,1,male,27.0,1
608,2,female,22.0,1
609,1,female,40.0,1
610,3,female,39.0,0
611,3,male,,0
612,3,female,,1
613,3,male,,0
614,3,male,35.0,0
615,2,female,24.0,1
616,3,male,34.0,0
617,3,female,26.0,0
618,2,female,4.0,1
619,2,male,26.0,0
620,3,male,27.0,0
621,1,male,42.0,1
622,3,male,20.0,1
623,3,male,21.0,0
624,3,male,21.0,0
625,1,male,61.0,0
626,2,male,57.0,0
627,1,female,21.0,1
628,3,male,26.0,0
629,3,male,,0
630,1,male,80.0,1
631,3,male,51.0,0
632,1,male,32.0,1
633,1,male,,0
634,3,female,9.0,0
635,2,female,28.0,1
636,3,male,32.0,0
637,2,male,31.0,0
638,3,female,41.0,0
639,3,male,,0
640,3,male,20.0,0
641,1,female,24.0,1
642,3,female,2.0,0
643,3,male,,1
644,3,female,0.75,1
645,1,male,48.0,1
646,3,male,19.0,0
647,1,male,56.0,1
648,3,male,,0
649,3,female,23.0,1
650,3,male,,0
651,2,female,18.0,1
652,3,male,21.0,0
653,3,female,,1
654,3,female,18.0,0
655,2,male,24.0,0
656,3,male,,0
657,3,female,32.0,0
658,2,male,23.0,0
659,1,male,58.0,0
660,1,male,50.0,1
661,3,male,40.0,0
662,1,male,47.0,0
663,3,male,36.0,0
664,3,male,20.0,1
665,2,male,32.0,0
666,2,male,25.0,0
667,3,male,,0
668,3,male,43.0,0
669,1,female,,1
670,2,female,40.0,1
671,1,male,31.0,0
672,2,male,70.0,0
673,2,male,31.0,1
674,2,male,,0
675,3,male,18.0,0
676,3,male,24.5,0
677,3,female,18.0,1
678,3,female,43.0,0
679,1,male,36.0,1
680,3,female,,0
681,1,male,27.0,1
682,3,male,20.0,0
683,3,male,14.0,0
684,2,male,60.0,0
685,2,male,25.0,0
686,3,male,14.0,0
687,3,male,19.0,0
688,3,male,18.0,0
689,1,female,15.0,1
690,1,male,31.0,1
691,3,female,4.0,1
692,3,male,,1
693,3,male,25.0,0
694,1,male,60.0,0
695,2,male,52.0,0
696,3,male,44.0,0
697,3,female,,1
698,1,male,49.0,0
699,3,male,42.0,0
700,1,female,18.0,1
701,1,male,35.0,1
702,3,female,18.0,0
703,3,male,25.0,0
704,3,male,26.0,0
705,2,male,39.0,0
706,2,female,45.0,1
707,1,male,42.0,1
708,1,female,22.0,1
709,3,male,,1
710,1,female,24.0,1
711,1,male,,0
712,1,male,48.0,1
713,3,male,29.0,0
714,2,male,52.0,0
715,3,male,19.0,0
716,1,female,38.0,1
717,2,female,27.0,1
718,3,male,,0
719,3,male,33.0,0
720,2,female,6.0,1
721,3,male,17.0,0
722,2,male,34.0,0
723,2,male,50.0,0
724,1,male,27.0,1
725,3,male,20.0,0
726,2,female,30.0,1
727,3,female,,1
728,2,male,25.0,0
729,3,female,25.0,0
730,1,female,29.0,1
731,3,male,11.0,0
732,2,male,,0
733,2,male,23.0,0
734,2,male,23.0,0
735,3,male,28.5,0
736,3,female,48.0,0
737,1,male,35.0,1
738,3,male,,0
739,3,male,,0
740,1,male,,1
741,1,male,36.0,0
742,1,female,21.0,1
743,3,male,24.0,0
744,3,male,31.0,1
745,1,male,70.0,0
746,3,male,16.0,0
747,2,female,30.0,1
748,1,male,19.0,0
749,3,male,31.0,0
750,2,female,4.0,1
751,3,male,6.0,1
752,3,male,33.0,0
753,3,male,23.0,0
754,2,female,48.0,1
755,2,male,0.67,1
756,3,male,28.0,0
757,2,male,18.0,0
758,3,male,34.0,0
759,1,female,33.0,1
760,3,male,,0
761,3,male,41.0,0
762,3,male,20.0,1
763,1,female,36.0,1
764,3,male,16.0,0
765,1,female,51.0,1
766,1,male,,0
767,3,female,30.5,0
768,3,male,,0
769,3,male,32.0,0
770,3,male,24.0,0
771,3,male,48.0,0
772,2,female,57.0,0
773,3,male,,0
774,2,female,54.0,1
775,3,male,18.0,0
776,3,male,,0
777,3,female,5.0,1
778,3,male,,0
779,1,female,43.0,1
780,3,female,13.0,1
781,1,female,17.0,1
782,1,male,29.0,0
783,3,male,,0
784,3,male,25.0,0
785,3,male,25.0,0
786,3,female,18.0,1
787,3,male,8.0,0
788,3,male,1.0,1
789,1,male,46.0,0
790,3,male,,0
791,2,male,16.0,0
792,3,female,,0
793,1,male,,0
794,3,male,25.0,0
795,2,male,39.0,0
796,1,female,49.0,1
797,3,female,31.0,1
798,3,male,30.0,0
799,3,female,30.0,0
800,2,male,34.0,0
801,2,female,31.0,1
802,1,male,11.0,1
803,3,male,0.42,1
804,3,male,27.0,1
805,3,male,31.0,0
806,1,male,39.0,0
807,3,female,18.0,0
808,2,male,39.0,0
809,1,female,33.0,1
810,3,male,26.0,0
811,3,male,39.0,0
812,2,male,35.0,0
813,3,female,6.0,0
814,3,male,30.5,0
815,1,male,,0
816,3,female,23.0,0
817,2,male,31.0,0
818,3,male,43.0,0
819,3,male,10.0,0
820,1,female,52.0,1
821,3,male,27.0,1
822,1,male,38.0,0
823,3,female,27.0,1
824,3,male,2.0,0
825,3,male,,0
826,3,male,,0
827,2,male,1.0,1
828,3,male,,1
829,1,female,62.0,1
830,3,female,15.0,1
831,2,male,0.83,1
832,3,male,,0
833,3,male,23.0,0
834,3,male,18.0,0
835,1,female,39.0,1
836,3,male,21.0,0
837,3,male,,0
838,3,male,32.0,1
839,1,male,,1
840,3,male,20.0,0
841,2,male,16.0,0
842,1,female,30.0,1
843,3,male,34.5,0
844,3,male,17.0,0
845,3,male,42.0,0
846,3,male,,0
847,3,male,35.0,0
848,2,male,28.0,0
849,1,female,,1
850,3,male,4.0,0
851,3,male,74.0,0
852,3,female,9.0,0
853,1,female,16.0,1
854,2,female,44.0,0
855,3,female,18.0,1
856,1,female,45.0,1
857,1,male,51.0,1
858,3,female,24.0,1
859,3,male,,0
860,3,male,41.0,0
861,2,male,21.0,0
862,1,female,48.0,1
863,3,female,,0
864,2,male,24.0,0
865,2,female,42.0,1
866,2,female,27.0,1
867,1,male,31.0,0
868,3,male,,0
869,3,male,4.0,1
870,3,male,26.0,0
871,1,female,47.0,1
872,1,male,33.0,0
873,3,male,47.0,0
874,2,female,28.0,1
875,3,female,15.0,1
876,3,male,20.0,0
877,3,male,19.0,0
878,3,male,,0
879,1,female,56.0,1
880,2,female,25.0,1
881,3,male,33.0,0
882,3,female,22.0,0
883,2,male,28.0,0
884,3,male,25.0,0
885,3,female,39.0,0
886,2,male,27.0,0
887,1,female,19.0,1
888,3,female,,0
889,1,male,26.0,1
890,3,male,32.0,0
